#TYPE Selected.Microsoft.Open.AzureAD.Model.User
"ObjectId","UserPrincipalName","DisplayName"
"b1fa7089-615c-4a80-b5ef-8d73b6cb00f3","Adams@M365B920419.OnMicrosoft.com","Conf Room Adams"
"50a24c0d-bbef-40c9-af94-abb22132ca0c","AdeleV@M365B920419.OnMicrosoft.com","Adele Vance"
"14c5bc4e-d2ac-458b-a96c-caac4bbde29f","admin@M365B920419.onmicrosoft.com","MOD Administrator"
"faf65218-2d84-4697-a923-d32de56f5b1c","AlexW@M365B920419.OnMicrosoft.com","Alex Wilber"
"faef9468-74ea-4e64-b521-4057aa6268bf","AllanD@M365B920419.OnMicrosoft.com","Allan Deyoung"
"36c9a7d8-8b8e-4cc0-8ba5-889a5485a223","Baker@M365B920419.OnMicrosoft.com","Conf Room Baker"
"9fa4bf26-12e4-4c94-b993-f98d52bd2542","BrianJ@M365B920419.OnMicrosoft.com","Brian Johnson (TAILSPIN)"
"efbc97a9-3d20-49c7-81e3-a6913ef0beb7","ChristieC@M365B920419.OnMicrosoft.com","Christie Cline"
"0c9a3319-4080-48d9-9ecf-d6765fc7140e","ContosoLandscaping@M365B920419.onmicrosoft.com","Contoso Landscaping"
"3ee984eb-42c8-4c1b-825a-c8d27b7b2e91","Crystal@M365B920419.OnMicrosoft.com","Conf Room Crystal"
"9272ff06-65c7-4f45-8ec8-da3ca094412f","DebraB@M365B920419.OnMicrosoft.com","Debra Berger"
"419a522f-7300-4f77-8167-85eb93bfeb51","DiegoS@M365B920419.OnMicrosoft.com","Diego Siciliani"
"cb63e40f-3853-4bb2-8633-e9404df0326d","EmilyB@M365B920419.OnMicrosoft.com","Emily Braun"
"6cf8d192-a97a-4294-a583-4dedfa38650c","EnricoC@M365B920419.OnMicrosoft.com","Enrico Cattaneo"
"0f8c0453-8b85-413f-bdc7-10debfd78366","GradyA@M365B920419.OnMicrosoft.com","Grady Archie"
"89e24529-d7f1-4c7e-8c25-18ad486bd16c","HenriettaM@M365B920419.OnMicrosoft.com","Henrietta Mueller"
"1037b037-774d-4424-8e17-49a62960a46d","Hood@M365B920419.OnMicrosoft.com","Conf Room Hood"
"98f38dbb-8fec-48a6-a88b-acf57596c57f","IrvinS@M365B920419.OnMicrosoft.com","Irvin Sayers"
"0dc3a493-1325-42d3-bd52-2a251e366730","IsaiahL@M365B920419.OnMicrosoft.com","Isaiah Langer"
"c9a452c7-38b3-4d45-af98-cfa1e3085585","JohannaL@M365B920419.OnMicrosoft.com","Johanna Lorenz"
"cdda341f-9cc3-479e-bb28-d9eb14d16dca","JoniS@M365B920419.OnMicrosoft.com","Joni Sherman"
"f55d93b1-9f46-44ab-906d-5e0904bf10ba","JordanM@M365B920419.OnMicrosoft.com","Jordan Miller"
"b0128fbf-a185-4693-9af3-f70756f1eb56","LeeG@M365B920419.OnMicrosoft.com","Lee Gu"
"1e248666-7000-4d85-90ae-05e1bc03c3fd","LidiaH@M365B920419.OnMicrosoft.com","Lidia Holloway"
"18b5692a-4874-402e-a6cf-7dfa4bea0676","LynneR@M365B920419.OnMicrosoft.com","Lynne Robbins"
"71ea4116-7b2d-414d-b63b-2c00040fba94","MeganB@M365B920419.OnMicrosoft.com","Megan Bowen"
"ad1a680e-55be-4d4a-8171-cdaffd5b1cf4","MiriamG@M365B920419.OnMicrosoft.com","Miriam Graham"
"1d7c4819-2afc-409e-9916-4e67910fe9ca","ms-serviceaccount@M365B920419.OnMicrosoft.com","Microsoft Service Account"
"de3ab0b4-3e6f-4f3f-af99-4c1756d4a8b4","NestorW@M365B920419.OnMicrosoft.com","Nestor Wilke"
"702a0679-6053-49c3-8b9e-f70639788aba","PattiF@M365B920419.OnMicrosoft.com","Patti Fernandez"
"2e5c16a4-705f-4b15-b88f-f54252496547","PradeepG@M365B920419.OnMicrosoft.com","Pradeep Gupta"
"3ff2009f-5cf0-4fff-8492-96005708dda7","Rainier@M365B920419.OnMicrosoft.com","Conf Room Rainier"
"b66610ca-69e7-4f80-885f-5d336c5fdad0","Stevens@M365B920419.OnMicrosoft.com","Conf Room Stevens"
"93981978-6685-4f2c-aaee-bec34050676f","testuser@m365b920419.onmicrosoft.com","test user"
